OBJECTID,STATE_CNTY_FIPS,STATE_FIPS,CNTY_FIPS,STATE_NAME,CNTY_NAME,FORESLAND_ACRES,TIMBERLAND_ACRES,AVGGROWTHMERCHBOLE_CBFT,AVGREMOVALMERCHBOLE_CBFT,TOTALCARBON_SHRTTON
1,41001,41,1,Oregon,Baker,735950.5877,611706.462,16546417.54,5326946.646,52183642.03
2,41003,41,3,Oregon,Benton,287332.7863,276552.0543,46820242.92,25905054.44,43366525.95
3,41005,41,5,Oregon,Clackamas,863631.9442,689029.2176,96936172.62,44199184.59,132871455.9
4,41007,41,7,Oregon,Clatsop,446033.7295,440312.5828,70783387.87,63662930.98,55406360.25
5,41009,41,9,Oregon,Columbia,354031.758,347866.2592,64520351.21,39938804.35,39808040.77
6,41011,41,11,Oregon,Coos,885366.8596,856326.37,137182466,90767228.71,117476052.6
7,41013,41,13,Oregon,Crook,1025092.961,484472.3519,21312863.89,3384624.596,64113204.16
8,41015,41,15,Oregon,Curry,994540.146,744320.8794,71924046.17,33492003.18,142754904.5
9,41017,41,17,Oregon,Deschutes,1247955.204,858422.3996,20013759.63,9161466.381,82487284.53
10,41019,41,19,Oregon,Douglas,2787330.253,2602474.415,296102059.9,129592503.5,396632863.3
11,41021,41,21,Oregon,Gilliam,-1,-1,-1,-1,-1
12,41023,41,23,Oregon,Grant,1851250.814,1458556.87,44540406.78,9035422.694,131948001.6
13,41025,41,25,Oregon,Harney,853651.3516,487287.2108,9363288.133,5398232.241,51277875.15
14,41027,41,27,Oregon,Hood River,267921.6023,168721.9571,13093421.51,1522779.151,35000022.38
15,41029,41,29,Oregon,Jackson,1482316.784,1170506.751,93066837.14,24579999.6,160744439.1
16,41031,41,31,Oregon,Jefferson,610648.0799,348738.0394,4734235.464,14433543.27,38479594.79
17,41033,41,33,Oregon,Josephine,969104.234,816444.9893,47146093.23,13343902.11,118085219.1
18,41035,41,35,Oregon,Klamath,2968080.684,2326782.961,104077314.3,45522349.85,213346105.7
19,41037,41,37,Oregon,Lake,1415142.509,1142627.963,25794321.12,10672526.14,89079774.05
20,41039,41,39,Oregon,Lane,2463810.239,2161972.816,315150878.9,132780670.3,401021472.6
21,41041,41,41,Oregon,Lincoln,531568.7397,510844.5203,80322818.7,61937141.97,75694542.92
22,41043,41,43,Oregon,Linn,980977.7922,890670.2327,116077032.4,70395791.55,137103517.5
23,41045,41,45,Oregon,Malheur,89178.10856,20177.00244,-368370.2332,98602.27081,4931375.623
24,41047,41,47,Oregon,Marion,409193.0531,318465.6248,33226608.5,29332918.18,55332822.71
25,41049,41,49,Oregon,Morrow,226234.3179,222908.0497,8006902.556,2038024.832,15260639.05
26,41051,41,51,Oregon,Multnomah,118070.1452,54250.21292,13285503.28,83444.67356,22168051.57
27,41053,41,53,Oregon,Polk,314585.2661,301976.482,42572492.46,51091278.8,38266231.77
28,41055,41,55,Oregon,Sherman,-1,-1,-1,-1,-1
29,41057,41,57,Oregon,Tillamook,609130.0196,607724.9771,88347059.47,57070757.62,88210258.84
30,41059,41,59,Oregon,Umatilla,567062.6071,549135.1568,20377812.75,7373713.344,41962476.01
31,41061,41,61,Oregon,Union,831692.9853,746424.8471,35751525.71,25625448.9,61669195.69
32,41063,41,63,Oregon,Wallowa,968150.4024,495765.1021,30727797.38,10304001.95,78989651.47
33,41065,41,65,Oregon,Wasco,580027.774,407052.1273,24800447.34,11642000.38,53730470.1
34,41067,41,67,Oregon,Washington,251572.2549,243885.2083,34510348.14,77549034.89,27645712.94
35,41069,41,69,Oregon,Wheeler,522260.8036,298564.1324,8712170.637,2072798.321,33611574.01
36,41071,41,71,Oregon,Yamhill,221143.3794,209479.4383,37611469.58,6421097.19,32854122.1
